"Step","rose-plant-62 - eval/loss","rose-plant-62 - eval/loss__MIN","rose-plant-62 - eval/loss__MAX"
"1","0.5672272443771362","0.5672272443771362","0.5672272443771362"
"3","0.5408867597579956","0.5408867597579956","0.5408867597579956"
"5","0.5140213370323181","0.5140213370323181","0.5140213370323181"
"7","0.50458824634552","0.50458824634552","0.50458824634552"
"9","0.49299320578575134","0.49299320578575134","0.49299320578575134"
"11","0.48693588376045227","0.48693588376045227","0.48693588376045227"
"13","0.48530399799346924","0.48530399799346924","0.48530399799346924"
"15","0.47745323181152344","0.47745323181152344","0.47745323181152344"
"17","0.4732736647129059","0.4732736647129059","0.4732736647129059"
"19","0.4841477870941162","0.4841477870941162","0.4841477870941162"
"21","0.4614264667034149","0.4614264667034149","0.4614264667034149"
"23","0.4692496359348297","0.4692496359348297","0.4692496359348297"
"25","0.45804789662361145","0.45804789662361145","0.45804789662361145"
"27","0.4677753746509552","0.4677753746509552","0.4677753746509552"
"29","0.4611450731754303","0.4611450731754303","0.4611450731754303"
"31","0.4587741196155548","0.4587741196155548","0.4587741196155548"
"33","0.4606499969959259","0.4606499969959259","0.4606499969959259"
"35","0.4585720896720886","0.4585720896720886","0.4585720896720886"
"37","0.4575762450695038","0.4575762450695038","0.4575762450695038"
"39","0.45487385988235474","0.45487385988235474","0.45487385988235474"
"41","0.4527609050273895","0.4527609050273895","0.4527609050273895"
"43","0.4554133117198944","0.4554133117198944","0.4554133117198944"
"45","0.4588663876056671","0.4588663876056671","0.4588663876056671"
"47","0.4537942111492157","0.4537942111492157","0.4537942111492157"
"49","0.45472604036331177","0.45472604036331177","0.45472604036331177"
"51","0.4578523337841034","0.4578523337841034","0.4578523337841034"
"53","0.45287609100341797","0.45287609100341797","0.45287609100341797"
"55","0.4485926926136017","0.4485926926136017","0.4485926926136017"
"57","0.4505871534347534","0.4505871534347534","0.4505871534347534"
"59","0.45508813858032227","0.45508813858032227","0.45508813858032227"
"61","0.4500187933444977","0.4500187933444977","0.4500187933444977"
"63","0.4554104208946228","0.4554104208946228","0.4554104208946228"
"65","0.4547140300273895","0.4547140300273895","0.4547140300273895"
"67","0.4489360749721527","0.4489360749721527","0.4489360749721527"
"69","0.45048707723617554","0.45048707723617554","0.45048707723617554"
"71","0.4514617621898651","0.4514617621898651","0.4514617621898651"
"73","0.4505464732646942","0.4505464732646942","0.4505464732646942"
