"Step","rose-plant-62 - eval/accuracy","rose-plant-62 - eval/accuracy__MIN","rose-plant-62 - eval/accuracy__MAX"
"1","0.7703718756350335","0.7703718756350335","0.7703718756350335"
"3","0.7863239179028653","0.7863239179028653","0.7863239179028653"
"5","0.7980085348506402","0.7980085348506402","0.7980085348506402"
"7","0.8025807762649868","0.8025807762649868","0.8025807762649868"
"9","0.8060353586669377","0.8060353586669377","0.8060353586669377"
"11","0.8133509449298923","0.8133509449298923","0.8133509449298923"
"13","0.8109124161755741","0.8109124161755741","0.8109124161755741"
"15","0.8142653932127616","0.8142653932127616","0.8142653932127616"
"17","0.8168055273318431","0.8168055273318431","0.8168055273318431"
"19","0.8171103434261329","0.8171103434261329","0.8171103434261329"
"21","0.8202601097337939","0.8202601097337939","0.8202601097337939"
"23","0.8219874009347694","0.8219874009347694","0.8219874009347694"
"25","0.8241211135947978","0.8241211135947978","0.8241211135947978"
"27","0.8258484047957733","0.8258484047957733","0.8258484047957733"
"29","0.8240195082300346","0.8240195082300346","0.8240195082300346"
"31","0.8272708799024588","0.8272708799024588","0.8272708799024588"
"33","0.8255435887014835","0.8255435887014835","0.8255435887014835"
"35","0.8264580369843528","0.8264580369843528","0.8264580369843528"
"37","0.8273724852672221","0.8273724852672221","0.8273724852672221"
"39","0.8297094086567771","0.8297094086567771","0.8297094086567771"
"41","0.8297094086567771","0.8297094086567771","0.8297094086567771"
"43","0.8297094086567771","0.8297094086567771","0.8297094086567771"
"45","0.8299126193863036","0.8299126193863036","0.8299126193863036"
"47","0.8287949603739078","0.8287949603739078","0.8287949603739078"
"49","0.8324527535053851","0.8324527535053851","0.8324527535053851"
"51","0.8298110140215403","0.8298110140215403","0.8298110140215403"
"53","0.831639910587279","0.831639910587279","0.831639910587279"
"55","0.832046332046332","0.832046332046332","0.832046332046332"
"57","0.8305222515748831","0.8305222515748831","0.8305222515748831"
"59","0.8319447266815688","0.8319447266815688","0.8319447266815688"
"61","0.8332655964234912","0.8332655964234912","0.8332655964234912"
"63","0.8321479374110953","0.8321479374110953","0.8321479374110953"
"65","0.8327575695996748","0.8327575695996748","0.8327575695996748"
"67","0.833976833976834","0.833976833976834","0.833976833976834"
"69","0.8345864661654135","0.8345864661654135","0.8345864661654135"
"71","0.8344848608006503","0.8344848608006503","0.8344848608006503"
"73","0.8349928876244666","0.8349928876244666","0.8349928876244666"
