"Step","rose-plant-62 - eval/f1_balanced","rose-plant-62 - eval/f1_balanced__MIN","rose-plant-62 - eval/f1_balanced__MAX"
"1","0.7703140923673268","0.7703140923673268","0.7703140923673268"
"3","0.7843547682339096","0.7843547682339096","0.7843547682339096"
"5","0.7980644264294884","0.7980644264294884","0.7980644264294884"
"7","0.8016584157432299","0.8016584157432299","0.8016584157432299"
"9","0.8053788797372556","0.8053788797372556","0.8053788797372556"
"11","0.8132275125901196","0.8132275125901196","0.8132275125901196"
"13","0.8106519742972234","0.8106519742972234","0.8106519742972234"
"15","0.8130661233016232","0.8130661233016232","0.8130661233016232"
"17","0.8170106417582832","0.8170106417582832","0.8170106417582832"
"19","0.8174669347655361","0.8174669347655361","0.8174669347655361"
"21","0.8198550376271528","0.8198550376271528","0.8198550376271528"
"23","0.8222933876329357","0.8222933876329357","0.8222933876329357"
"25","0.8239257607337139","0.8239257607337139","0.8239257607337139"
"27","0.8261210276227653","0.8261210276227653","0.8261210276227653"
"29","0.8234291709164646","0.8234291709164646","0.8234291709164646"
"31","0.8274272933601895","0.8274272933601895","0.8274272933601895"
"33","0.8258514420931955","0.8258514420931955","0.8258514420931955"
"35","0.826824672074911","0.826824672074911","0.826824672074911"
"37","0.8272694201563155","0.8272694201563155","0.8272694201563155"
"39","0.8296726931491796","0.8296726931491796","0.8296726931491796"
"41","0.8300477412232057","0.8300477412232057","0.8300477412232057"
"43","0.8299700177543835","0.8299700177543835","0.8299700177543835"
"45","0.8294223909373465","0.8294223909373465","0.8294223909373465"
"47","0.8281503376950982","0.8281503376950982","0.8281503376950982"
"49","0.8323168073240922","0.8323168073240922","0.8323168073240922"
"51","0.8296915660650889","0.8296915660650889","0.8296915660650889"
"53","0.8317519039968458","0.8317519039968458","0.8317519039968458"
"55","0.832110004011365","0.832110004011365","0.832110004011365"
"57","0.8307045471091344","0.8307045471091344","0.8307045471091344"
"59","0.8319534273120269","0.8319534273120269","0.8319534273120269"
"61","0.8332976467112362","0.8332976467112362","0.8332976467112362"
"63","0.8321755895137175","0.8321755895137175","0.8321755895137175"
"65","0.832658193770649","0.832658193770649","0.832658193770649"
"67","0.8338366670109587","0.8338366670109587","0.8338366670109587"
"69","0.8345850980249284","0.8345850980249284","0.8345850980249284"
"71","0.8344659646251992","0.8344659646251992","0.8344659646251992"
"73","0.8350401945001348","0.8350401945001348","0.8350401945001348"
