"Step","peach-shadow-75 - eval/accuracy","peach-shadow-75 - eval/accuracy__MIN","peach-shadow-75 - eval/accuracy__MAX"
"1","0.6806853582554517","0.6806853582554517","0.6806853582554517"
"3","0.6892523364485982","0.6892523364485982","0.6892523364485982"
"5","0.6884735202492211","0.6884735202492211","0.6884735202492211"
"7","0.6892523364485982","0.6892523364485982","0.6892523364485982"
"9","0.6884735202492211","0.6884735202492211","0.6884735202492211"
"11","0.6892523364485982","0.6892523364485982","0.6892523364485982"
"13","0.6892523364485982","0.6892523364485982","0.6892523364485982"
"15","0.6892523364485982","0.6892523364485982","0.6892523364485982"
"17","0.6884735202492211","0.6884735202492211","0.6884735202492211"
"19","0.6900311526479751","0.6900311526479751","0.6900311526479751"
"21","0.6892523364485982","0.6892523364485982","0.6892523364485982"
"23","0.6876947040498442","0.6876947040498442","0.6876947040498442"
"25","0.692367601246106","0.692367601246106","0.692367601246106"
"27","0.690809968847352","0.690809968847352","0.690809968847352"
"29","0.690809968847352","0.690809968847352","0.690809968847352"
"31","0.6900311526479751","0.6900311526479751","0.6900311526479751"
"33","0.6900311526479751","0.6900311526479751","0.6900311526479751"
"35","0.6900311526479751","0.6900311526479751","0.6900311526479751"
"37","0.690809968847352","0.690809968847352","0.690809968847352"
"39","0.690809968847352","0.690809968847352","0.690809968847352"
"41","0.690809968847352","0.690809968847352","0.690809968847352"
"43","0.692367601246106","0.692367601246106","0.692367601246106"
"45","0.6915887850467289","0.6915887850467289","0.6915887850467289"
"47","0.6915887850467289","0.6915887850467289","0.6915887850467289"
"49","0.692367601246106","0.692367601246106","0.692367601246106"
"51","0.692367601246106","0.692367601246106","0.692367601246106"
"53","0.6915887850467289","0.6915887850467289","0.6915887850467289"
"55","0.6915887850467289","0.6915887850467289","0.6915887850467289"
"57","0.692367601246106","0.692367601246106","0.692367601246106"
"59","0.692367601246106","0.692367601246106","0.692367601246106"
"61","0.6915887850467289","0.6915887850467289","0.6915887850467289"
"63","0.6915887850467289","0.6915887850467289","0.6915887850467289"
