"Step","peach-shadow-75 - eval/loss","peach-shadow-75 - eval/loss__MIN","peach-shadow-75 - eval/loss__MAX"
"1","0.6458728313446045","0.6458728313446045","0.6458728313446045"
"3","0.6427498459815979","0.6427498459815979","0.6427498459815979"
"5","0.6415253281593323","0.6415253281593323","0.6415253281593323"
"7","0.6399537324905396","0.6399537324905396","0.6399537324905396"
"9","0.6404793858528137","0.6404793858528137","0.6404793858528137"
"11","0.6405084133148193","0.6405084133148193","0.6405084133148193"
"13","0.6397246718406677","0.6397246718406677","0.6397246718406677"
"15","0.6381896138191223","0.6381896138191223","0.6381896138191223"
"17","0.6389003396034241","0.6389003396034241","0.6389003396034241"
"19","0.6372976303100586","0.6372976303100586","0.6372976303100586"
"21","0.636120080947876","0.636120080947876","0.636120080947876"
"23","0.6367999911308289","0.6367999911308289","0.6367999911308289"
"25","0.6383578181266785","0.6383578181266785","0.6383578181266785"
"27","0.6367015838623047","0.6367015838623047","0.6367015838623047"
"29","0.6351993083953857","0.6351993083953857","0.6351993083953857"
"31","0.6349663138389587","0.6349663138389587","0.6349663138389587"
"33","0.6337878108024597","0.6337878108024597","0.6337878108024597"
"35","0.6335760354995728","0.6335760354995728","0.6335760354995728"
"37","0.6338300108909607","0.6338300108909607","0.6338300108909607"
"39","0.6346516609191895","0.6346516609191895","0.6346516609191895"
"41","0.6344324350357056","0.6344324350357056","0.6344324350357056"
"43","0.6347188949584961","0.6347188949584961","0.6347188949584961"
"45","0.6331756711006165","0.6331756711006165","0.6331756711006165"
"47","0.6342200636863708","0.6342200636863708","0.6342200636863708"
"49","0.6330903768539429","0.6330903768539429","0.6330903768539429"
"51","0.6327695250511169","0.6327695250511169","0.6327695250511169"
"53","0.6332567930221558","0.6332567930221558","0.6332567930221558"
"55","0.6326645016670227","0.6326645016670227","0.6326645016670227"
"57","0.6324198842048645","0.6324198842048645","0.6324198842048645"
"59","0.6323620676994324","0.6323620676994324","0.6323620676994324"
"61","0.6324502825737","0.6324502825737","0.6324502825737"
"63","0.6325395703315735","0.6325395703315735","0.6325395703315735"
