"Step","peach-shadow-75 - eval/f1_balanced","peach-shadow-75 - eval/f1_balanced__MIN","peach-shadow-75 - eval/f1_balanced__MAX"
"1","0.6165385703654471","0.6165385703654471","0.6165385703654471"
"3","0.6120305305315624","0.6120305305315624","0.6120305305315624"
"5","0.6095856911140806","0.6095856911140806","0.6095856911140806"
"7","0.6110537872993078","0.6110537872993078","0.6110537872993078"
"9","0.6045133587692693","0.6045133587692693","0.6045133587692693"
"11","0.6039333814834158","0.6039333814834158","0.6039333814834158"
"13","0.6039333814834158","0.6039333814834158","0.6039333814834158"
"15","0.6070469715678498","0.6070469715678498","0.6070469715678498"
"17","0.6024111422471252","0.6024111422471252","0.6024111422471252"
"19","0.6075207506695315","0.6075207506695315","0.6075207506695315"
"21","0.6090706025022488","0.6090706025022488","0.6090706025022488"
"23","0.6019480851499993","0.6019480851499993","0.6019480851499993"
"25","0.6036439752952162","0.6036439752952162","0.6036439752952162"
"27","0.6037999281060918","0.6037999281060918","0.6037999281060918"
"29","0.6079945009303652","0.6079945009303652","0.6079945009303652"
"31","0.6064907919754231","0.6064907919754231","0.6064907919754231"
"33","0.6105486712495275","0.6105486712495275","0.6105486712495275"
"35","0.6105486712495275","0.6105486712495275","0.6105486712495275"
"37","0.6079945009303652","0.6079945009303652","0.6079945009303652"
"39","0.6027241003890641","0.6027241003890641","0.6027241003890641"
"41","0.6027241003890641","0.6027241003890641","0.6027241003890641"
"43","0.6036439752952162","0.6036439752952162","0.6036439752952162"
"45","0.6063870308246541","0.6063870308246541","0.6063870308246541"
"47","0.6031840699880543","0.6031840699880543","0.6031840699880543"
"49","0.6068553450689093","0.6068553450689093","0.6068553450689093"
"51","0.6068553450689093","0.6068553450689093","0.6068553450689093"
"53","0.6042627369532615","0.6042627369532615","0.6042627369532615"
"55","0.6053303422224696","0.6053303422224696","0.6053303422224696"
"57","0.6068553450689093","0.6068553450689093","0.6068553450689093"
"59","0.6068553450689093","0.6068553450689093","0.6068553450689093"
"61","0.6053303422224696","0.6053303422224696","0.6053303422224696"
"63","0.6053303422224696","0.6053303422224696","0.6053303422224696"
