"Step","elated-water-74 - eval/accuracy","elated-water-74 - eval/accuracy__MIN","elated-water-74 - eval/accuracy__MAX"
"1","0.7048286604361371","0.7048286604361371","0.7048286604361371"
"3","0.7048286604361371","0.7048286604361371","0.7048286604361371"
"5","0.7048286604361371","0.7048286604361371","0.7048286604361371"
"7","0.7040498442367601","0.7040498442367601","0.7040498442367601"
"9","0.7040498442367601","0.7040498442367601","0.7040498442367601"
"11","0.705607476635514","0.705607476635514","0.705607476635514"
"13","0.7079439252336449","0.7079439252336449","0.7079439252336449"
"15","0.706386292834891","0.706386292834891","0.706386292834891"
"17","0.706386292834891","0.706386292834891","0.706386292834891"
"19","0.706386292834891","0.706386292834891","0.706386292834891"
"21","0.7071651090342679","0.7071651090342679","0.7071651090342679"
"23","0.7071651090342679","0.7071651090342679","0.7071651090342679"
"25","0.7040498442367601","0.7040498442367601","0.7040498442367601"
"27","0.7071651090342679","0.7071651090342679","0.7071651090342679"
"29","0.706386292834891","0.706386292834891","0.706386292834891"
"31","0.7095015576323987","0.7095015576323987","0.7095015576323987"
"33","0.7095015576323987","0.7095015576323987","0.7095015576323987"
"35","0.7118380062305296","0.7118380062305296","0.7118380062305296"
"37","0.7102803738317757","0.7102803738317757","0.7102803738317757"
"39","0.7071651090342679","0.7071651090342679","0.7071651090342679"
"41","0.7102803738317757","0.7102803738317757","0.7102803738317757"
"43","0.7102803738317757","0.7102803738317757","0.7102803738317757"
"45","0.7110591900311527","0.7110591900311527","0.7110591900311527"
"47","0.7079439252336449","0.7079439252336449","0.7079439252336449"
"49","0.7110591900311527","0.7110591900311527","0.7110591900311527"
"51","0.7102803738317757","0.7102803738317757","0.7102803738317757"
"53","0.7095015576323987","0.7095015576323987","0.7095015576323987"
"55","0.7110591900311527","0.7110591900311527","0.7110591900311527"
"57","0.7110591900311527","0.7110591900311527","0.7110591900311527"
"59","0.7110591900311527","0.7110591900311527","0.7110591900311527"
"61","0.7110591900311527","0.7110591900311527","0.7110591900311527"
"63","0.7110591900311527","0.7110591900311527","0.7110591900311527"
