"Step","worthy-firebrand-69 - eval/accuracy","worthy-firebrand-69 - eval/accuracy__MIN","worthy-firebrand-69 - eval/accuracy__MAX"
"1","0.7034962918117148","0.7034962918117148","0.7034962918117148"
"3","0.7163614348418345","0.7163614348418345","0.7163614348418345"
"5","0.7317996064779779","0.7317996064779779","0.7317996064779779"
"7","0.7174209172090207","0.7174209172090207","0.7174209172090207"
"9","0.7221129105494173","0.7221129105494173","0.7221129105494173"
"11","0.7324050249735129","0.7324050249735129","0.7324050249735129"
"13","0.737399727561677","0.737399727561677","0.737399727561677"
"15","0.7434539125170274","0.7434539125170274","0.7434539125170274"
"17","0.7426971393976086","0.7426971393976086","0.7426971393976086"
"19","0.7429998486453762","0.7429998486453762","0.7429998486453762"
"21","0.7218102013016497","0.7218102013016497","0.7218102013016497"
"23","0.7478431966096565","0.7478431966096565","0.7478431966096565"
"25","0.7448161041319812","0.7448161041319812","0.7448161041319812"
"27","0.7467837142424701","0.7467837142424701","0.7467837142424701"
"29","0.7434539125170274","0.7434539125170274","0.7434539125170274"
"31","0.7479945512335402","0.7479945512335402","0.7479945512335402"
"33","0.7426971393976086","0.7426971393976086","0.7426971393976086"
"35","0.7464810049947026","0.7464810049947026","0.7464810049947026"
"37","0.7466323596185863","0.7466323596185863","0.7466323596185863"
"39","0.7461782957469351","0.7461782957469351","0.7461782957469351"
"41","0.7461782957469351","0.7461782957469351","0.7461782957469351"
"43","0.7470864234902376","0.7470864234902376","0.7470864234902376"
"45","0.7361888905706069","0.7361888905706069","0.7361888905706069"
"47","0.7504162252156803","0.7504162252156803","0.7504162252156803"
"49","0.7482972604813077","0.7482972604813077","0.7482972604813077"
"51","0.7466323596185863","0.7466323596185863","0.7466323596185863"
"53","0.7507189344634478","0.7507189344634478","0.7507189344634478"
"55","0.7392159830482822","0.7392159830482822","0.7392159830482822"
"57","0.7466323596185863","0.7466323596185863","0.7466323596185863"
"59","0.7473891327380051","0.7473891327380051","0.7473891327380051"
"61","0.7440593310125624","0.7440593310125624","0.7440593310125624"
"63","0.748751324352959","0.748751324352959","0.748751324352959"
"65","0.7496594520962615","0.7496594520962615","0.7496594520962615"
"67","0.748751324352959","0.748751324352959","0.748751324352959"
"69","0.749962161344029","0.749962161344029","0.749962161344029"
"71","0.7476918419857727","0.7476918419857727","0.7476918419857727"
"73","0.7496594520962615","0.7496594520962615","0.7496594520962615"
"75","0.7475404873618889","0.7475404873618889","0.7475404873618889"
"77","0.7452701680036325","0.7452701680036325","0.7452701680036325"
"79","0.7461782957469351","0.7461782957469351","0.7461782957469351"
"81","0.7490540336007265","0.7490540336007265","0.7490540336007265"
"83","0.7489026789768427","0.7489026789768427","0.7489026789768427"
"85","0.748751324352959","0.748751324352959","0.748751324352959"
"87","0.7501135159679129","0.7501135159679129","0.7501135159679129"
"89","0.7490540336007265","0.7490540336007265","0.7490540336007265"
