"Step","worthy-firebrand-69 - eval/f1_balanced","worthy-firebrand-69 - eval/f1_balanced__MIN","worthy-firebrand-69 - eval/f1_balanced__MAX"
"1","0.6954659554709219","0.6954659554709219","0.6954659554709219"
"3","0.715519057391948","0.715519057391948","0.715519057391948"
"5","0.7282088085319627","0.7282088085319627","0.7282088085319627"
"7","0.7078959031434833","0.7078959031434833","0.7078959031434833"
"9","0.7133370244317365","0.7133370244317365","0.7133370244317365"
"11","0.7321956672247688","0.7321956672247688","0.7321956672247688"
"13","0.7343984121249815","0.7343984121249815","0.7343984121249815"
"15","0.7411433333590114","0.7411433333590114","0.7411433333590114"
"17","0.7414497155842344","0.7414497155842344","0.7414497155842344"
"19","0.7418816239879241","0.7418816239879241","0.7418816239879241"
"21","0.7108161904149695","0.7108161904149695","0.7108161904149695"
"23","0.7454604701421353","0.7454604701421353","0.7454604701421353"
"25","0.7417891254949903","0.7417891254949903","0.7417891254949903"
"27","0.7453015440191915","0.7453015440191915","0.7453015440191915"
"29","0.7434301528139614","0.7434301528139614","0.7434301528139614"
"31","0.7467458537238948","0.7467458537238948","0.7467458537238948"
"33","0.7427005463550977","0.7427005463550977","0.7427005463550977"
"35","0.7461649267586948","0.7461649267586948","0.7461649267586948"
"37","0.7438930267367498","0.7438930267367498","0.7438930267367498"
"39","0.7458833453423354","0.7458833453423354","0.7458833453423354"
"41","0.7451093970978007","0.7451093970978007","0.7451093970978007"
"43","0.7442621254158042","0.7442621254158042","0.7442621254158042"
"45","0.7357200120246227","0.7357200120246227","0.7357200120246227"
"47","0.7490585542444831","0.7490585542444831","0.7490585542444831"
"49","0.7479557428812118","0.7479557428812118","0.7479557428812118"
"51","0.7453714561375442","0.7453714561375442","0.7453714561375442"
"53","0.7501777754918887","0.7501777754918887","0.7501777754918887"
"55","0.7332663962285836","0.7332663962285836","0.7332663962285836"
"57","0.745560347071191","0.745560347071191","0.745560347071191"
"59","0.7457775139430012","0.7457775139430012","0.7457775139430012"
"61","0.7396003505936299","0.7396003505936299","0.7396003505936299"
"63","0.7473902571439169","0.7473902571439169","0.7473902571439169"
"65","0.7490687842029974","0.7490687842029974","0.7490687842029974"
"67","0.747298260614832","0.747298260614832","0.747298260614832"
"69","0.7468945008596386","0.7468945008596386","0.7468945008596386"
"71","0.7466492186728786","0.7466492186728786","0.7466492186728786"
"73","0.7485397358411502","0.7485397358411502","0.7485397358411502"
"75","0.7437315484506899","0.7437315484506899","0.7437315484506899"
"77","0.7452723738768392","0.7452723738768392","0.7452723738768392"
"79","0.7418598154521181","0.7418598154521181","0.7418598154521181"
"81","0.748633169740894","0.748633169740894","0.748633169740894"
"83","0.7475367747068511","0.7475367747068511","0.7475367747068511"
"85","0.7474572533395629","0.7474572533395629","0.7474572533395629"
"87","0.7488537219750169","0.7488537219750169","0.7488537219750169"
"89","0.7476027205418021","0.7476027205418021","0.7476027205418021"
