"Step","worthy-firebrand-69 - eval/loss","worthy-firebrand-69 - eval/loss__MIN","worthy-firebrand-69 - eval/loss__MAX"
"1","0.5911011695861816","0.5911011695861816","0.5911011695861816"
"3","0.5728569030761719","0.5728569030761719","0.5728569030761719"
"5","0.5673525929450989","0.5673525929450989","0.5673525929450989"
"7","0.573372483253479","0.573372483253479","0.573372483253479"
"9","0.5700628757476807","0.5700628757476807","0.5700628757476807"
"11","0.5591610670089722","0.5591610670089722","0.5591610670089722"
"13","0.5583651661872864","0.5583651661872864","0.5583651661872864"
"15","0.5580496788024902","0.5580496788024902","0.5580496788024902"
"17","0.5519287586212158","0.5519287586212158","0.5519287586212158"
"19","0.5511446595191956","0.5511446595191956","0.5511446595191956"
"21","0.5680451393127441","0.5680451393127441","0.5680451393127441"
"23","0.5523137450218201","0.5523137450218201","0.5523137450218201"
"25","0.5541539788246155","0.5541539788246155","0.5541539788246155"
"27","0.551027774810791","0.551027774810791","0.551027774810791"
"29","0.5459462404251099","0.5459462404251099","0.5459462404251099"
"31","0.5481024980545044","0.5481024980545044","0.5481024980545044"
"33","0.546677827835083","0.546677827835083","0.546677827835083"
"35","0.545746922492981","0.545746922492981","0.545746922492981"
"37","0.5496165752410889","0.5496165752410889","0.5496165752410889"
"39","0.547545313835144","0.547545313835144","0.547545313835144"
"41","0.5468458533287048","0.5468458533287048","0.5468458533287048"
"43","0.5496379137039185","0.5496379137039185","0.5496379137039185"
"45","0.5449301600456238","0.5449301600456238","0.5449301600456238"
"47","0.5462560653686523","0.5462560653686523","0.5462560653686523"
"49","0.5438161492347717","0.5438161492347717","0.5438161492347717"
"51","0.5448607802391052","0.5448607802391052","0.5448607802391052"
"53","0.5430017709732056","0.5430017709732056","0.5430017709732056"
"55","0.5555443167686462","0.5555443167686462","0.5555443167686462"
"57","0.5445835590362549","0.5445835590362549","0.5445835590362549"
"59","0.5448971390724182","0.5448971390724182","0.5448971390724182"
"61","0.5495031476020813","0.5495031476020813","0.5495031476020813"
"63","0.5438745617866516","0.5438745617866516","0.5438745617866516"
"65","0.5420238375663757","0.5420238375663757","0.5420238375663757"
"67","0.5441548228263855","0.5441548228263855","0.5441548228263855"
"69","0.5477585792541504","0.5477585792541504","0.5477585792541504"
"71","0.5435929894447327","0.5435929894447327","0.5435929894447327"
"73","0.542809784412384","0.542809784412384","0.542809784412384"
"75","0.547531008720398","0.547531008720398","0.547531008720398"
"77","0.5412664413452148","0.5412664413452148","0.5412664413452148"
"79","0.5482210516929626","0.5482210516929626","0.5482210516929626"
"81","0.5411892533302307","0.5411892533302307","0.5411892533302307"
"83","0.5430362224578857","0.5430362224578857","0.5430362224578857"
"85","0.542829155921936","0.542829155921936","0.542829155921936"
"87","0.542914092540741","0.542914092540741","0.542914092540741"
"89","0.5431905388832092","0.5431905388832092","0.5431905388832092"
